chassis,tonnage
adder,35
annihilator,100
archer,70
arcticcheetah,30
arcticwolf,40
assassin,40
atlas,100
awesome,80
bane,100
banshee,95
battlemaster,85
behemoth,100
blackhawkku,60
blackjack,45
blackknight,75
blacklanner,55
bloodasp,90
bullshark,95
bushwacker,55
cataphract,70
catapult,65
centurion,50
champion,60
charger,80
cicada,40
clanannihilator,100
clanarcher,70
clanatlas,100
clanawesome,80
clanbattlemaster,85
clanbullshark,95
clanflea,20
clannightstar,95
clansneede,60
clanstalker,85
commando,25
commandoiic,25
corsair,95
cougar,35
crab,50
crusader,65
cyclops,90
dervish,55
direwolf,100
dragon,60
ebonjaguar,65
enforcer,50
executioner,95
fafnir,100
firemoth,20
firestarter,35
flea,20
gargoyle,80
gauntlet,
grandsummoner,70
grasshopper,70
griffin,45
hatamotochi,80
hatchetman,45
heavystalker,85
hellbringer,65
hellfire,
hellspawn,45
highlander,90
highlanderiic,90
hunchback,50
hunchbackiic,50
huntsman,50
iceferret,45
incubus,30
jagermech,65
javelin,30
jenner,35
jenneriic,35
kingcrab,100
kintaro,55
kitfox,30
kodiak,100
linebacker,65
locust,20
longbow,85
madcatmkii,90
maddog,60
marauder,75
marauderii,100
marauderiic,85
mauler,90
mistlynx,25
naga,80
nightgyr,75
nightstar,95
nova,50
novacat,70
orion,75
orioniic,75
osiris,30
panther,35
phoenixhawk,45
piranha,20
quickdraw,60
raven,35
rifleman,60
riflemaniic,65
roughneck,65
shadowcat,45
shadowhawk,55
shadowhawkiic,45
sneede,60
spider,30
stalker,85
stonerhino,100
stormcrow,55
summoner,70
sunder,90
sunspider,70
supernova,90
thanatos,75
thunderbolt,65
timberwolf,75
trebuchet,50
urbanmech,30
urbanmechiic,30
uziel,50
vaporeagle,55
victor,80
vindicator,45
viper,40
vulcan,40
warhammer,70
warhammeriic,80
warhawk,85
wolfhound,35
wolfhoundclan,35
wolverine,55
zeus,80
