id,chassis,variant
1,hunchback,hbk-4g
2,hunchback,hbk-4p
3,jenner,jr7-d
4,jenner,jr7-f
5,commando,com-2d
6,commando,com-3a
7,centurion,cn9-a
8,centurion,cn9-ah
9,hunchback,hbk-4h
10,dragon,drg-1n
11,dragon,drg-1c
12,catapult,cplt-c1
13,catapult,cplt-a1
14,awesome,aws-8q
15,awesome,aws-8r
16,atlas,as7-d
17,atlas,as7-d-dc
18,atlas,as7-rs
19,catapult,cplt-k2
20,jenner,jr7-k
21,hunchback,hbk-4j
22,hunchback,hbk-4sp
23,dragon,drg-5n
24,catapult,cplt-c4
25,atlas,as7-k
26,commando,com-1b
27,commando,com-1d
28,centurion,cn9-al
29,centurion,cn9-d
30,awesome,aws-8t
31,awesome,aws-8v
32,awesome,aws-9m
33,raven,rvn-3l
34,raven,rvn-2x
35,raven,rvn-4x
36,cicada,cda-3m
37,cicada,cda-2a
38,cicada,cda-2b
39,cicada,cda-3c
40,cataphract,ctf-3d
41,cataphract,ctf-1x
42,cataphract,ctf-2x
43,cataphract,ctf-3l
44,cataphract,ctf-4x
45,centurion,cn9-ylw
46,stalker,stk-5m
47,stalker,stk-3f
48,stalker,stk-3h
49,stalker,stk-4n
50,stalker,stk-5s
51,spider,sdr-5v
52,spider,sdr-5d
53,spider,sdr-5k
54,cataphract,ctf-im
55,dragon,drg-fang
56,dragon,drg-flame
57,commando,com-tdk
58,awesome,aws-pb
59,trebuchet,tbt-7m
60,trebuchet,tbt-3c
61,trebuchet,tbt-5j
62,trebuchet,tbt-5n
63,trebuchet,tbt-7k
64,cicada,cda-x5
65,jagermech,jm6-dd
66,jagermech,jm6-a
67,jagermech,jm6-s
69,highlander,hgn-hm
70,highlander,hgn-732
71,highlander,hgn-733
72,highlander,hgn-733c
73,highlander,hgn-733p
74,dragon,drg-5nc
75,stalker,stk-m
76,jenner,jr7-fc
77,blackjack,bj-1
78,blackjack,bj-1dc
79,blackjack,bj-1x
80,blackjack,bj-3
81,jagermech,jm6-fb
82,quickdraw,qkd-4g
83,quickdraw,qkd-4h
84,quickdraw,qkd-5k
85,hunchback,hbk-4pc
86,jenner,jr7-ds
87,victor,vtr-ds
88,victor,vtr-9k
89,victor,vtr-9b
90,victor,vtr-9s
91,catapult,cplt-a1c
92,atlas,as7-rsc
93,kintaro,kto-gb
94,kintaro,kto-20
95,kintaro,kto-18
96,kintaro,kto-19
97,orion,on1-p
98,orion,on1-m
99,orion,on1-k
100,orion,on1-v
101,orion,on1-va
102,centurion,cn9-ac
103,atlas,as7-bh
104,spider,sdr-5kc
105,locust,lct-1vp
106,locust,lct-1v
107,locust,lct-3m
108,locust,lct-3s
109,shadowhawk,shd-2hp
110,shadowhawk,shd-2h
111,shadowhawk,shd-2d2
112,shadowhawk,shd-5m
113,thunderbolt,tdr-5sp
114,thunderbolt,tdr-5s
115,thunderbolt,tdr-5ss
116,thunderbolt,tdr-9se
117,battlemaster,blr-1gp
118,battlemaster,blr-1g
119,battlemaster,blr-1d
120,battlemaster,blr-1s
121,catapult,cplt-j
122,blackjack,bj-1c
123,jenner,jr7-o
124,highlander,hgn-733cc
125,griffin,grf-1np
126,griffin,grf-1n
127,griffin,grf-1s
128,griffin,grf-3m
129,wolverine,wvr-6rp
130,wolverine,wvr-6r
131,wolverine,wvr-6k
132,wolverine,wvr-7k
133,hunchback,hbk-gi
134,cicada,cda-2ac
135,hunchback,hbk-gi2
136,stalker,stk-3fc
137,firestarter,fs9-e
138,firestarter,fs9-s
139,firestarter,fs9-a
140,firestarter,fs9-h
141,firestarter,fs9-k
142,cataphract,ctf-3dc
143,banshee,bnc-lm
144,banshee,bnc-3e
145,banshee,bnc-3m
146,banshee,bnc-3s
147,victor,vtr-9sc
148,raven,rvn-h
149,battlemaster,blr-3m
150,battlemaster,blr-3s
151,locust,lct-1e
152,locust,lct-1m
153,shadowhawk,shd-2d
154,shadowhawk,shd-2k
155,thunderbolt,tdr-9s
156,orion,on1-kc
157,trebuchet,tbt-lg
158,quickdraw,qkd-iv4
159,blackjack,bj-a
160,firestarter,fs9-sc
161,shadowhawk,shd-2hc
162,timberwolf,tbr-primei
163,timberwolf,tbr-prime
164,timberwolf,tbr-c
165,timberwolf,tbr-s
166,adder,adr-primei
167,adder,adr-prime
168,adder,adr-a
169,adder,adr-d
170,direwolf,dwf-primei
171,direwolf,dwf-prime
172,direwolf,dwf-a
173,direwolf,dwf-b
174,kitfox,kfx-primei
175,kitfox,kfx-prime
176,kitfox,kfx-d
177,kitfox,kfx-s
178,nova,nva-primei
179,nova,nva-prime
180,nova,nva-b
181,nova,nva-s
182,stormcrow,scr-primei
183,stormcrow,scr-prime
184,stormcrow,scr-c
185,stormcrow,scr-d
186,summoner,smn-primei
187,summoner,smn-prime
188,summoner,smn-b
189,summoner,smn-d
190,warhawk,whk-primei
191,warhawk,whk-prime
192,warhawk,whk-a
193,warhawk,whk-b
194,timberwolf,tbr-primeg
195,adder,adr-primeg
196,direwolf,dwf-primeg
197,kitfox,kfx-primeg
198,nova,nva-primeg
199,stormcrow,scr-primeg
