id,name,tons,abbreviation
1000,AutoCannon20,14,AC20
1001,MediumLaser,1,ML
1002,LRM20,10,LRM20
1003,SmallLaser,0.5,SL
1004,SRM4,2,SRM4
1005,ERLargeLaser,5,ERLL
1006,ERPPC,7,ERPPC
1007,Flamer,1,FLMR
1008,LargeLaser,5,LL
1009,PPC,7,PPC
1010,LargePulseLaser,7,LPL
1011,MediumPulseLaser,2,MPL
1012,SmallPulseLaser,1,SPL
1014,AntiMissileSystem,0.5,AMS
1018,AutoCannon2,6,AC2
1019,AutoCannon5,8,AC5
1020,AutoCannon10,12,AC10
1021,GaussRifle,15,GAUSS
1023,LBXAutoCannon10,11,LB10X
1024,MachineGun,0.5,MG
1025,UltraAutoCannon5,9,UAC5
1026,LRM5,2,LRM5
1027,LRM10,5,LRM10
1028,LRM15,7,LRM15
1029,NarcBeacon,3,NARC
1030,SRM2,1,SRM2
1031,SRM6,3,SRM6
1032,StreakSRM2,1.5,SSRM2
1037,TAG,1.0,TAG
1038,SRM2_Artemis,1,SRM2A
1039,SRM4_Artemis,2,SRM4A
1040,SRM6_Artemis,3,SRM6A
1041,LRM5_Artemis,2,LRM5A
1042,LRM10_Artemis,5,LRM10A
1043,LRM15_Artemis,7,LRM15A
1044,LRM20_Artemis,10,LRM20A
1045,ERSmallLaser,0.5,ERSL
1046,ERMediumLaser,1,ERML
1047,LightPPC,3,LPPC
1048,HeavyPPC,10,HPPC
1049,SnubNosePPC,6,SNPPC
1050,LBXAutoCannon2,6,LB2X
1051,LBXAutoCannon5,8,LB5X
1052,LBXAutoCannon20,14,LB20X
1053,UltraAutoCannon2,7,UAC2
1054,UltraAutoCannon10,13,UAC10
1055,UltraAutoCannon20,15,UAC20
1056,LightGaussRifle,12,LGAUSS
1057,HeavyGaussRifle,18,HGAUSS
1058,RotaryAutoCannon2,8,RAC2
1059,RotaryAutoCannon5,10,RAC5
1060,LightMachineGun,0.5,LMG
1061,HeavyMachineGun,1.0,HMG
1062,StreakSRM4,3.0,SSRM4
1063,StreakSRM6,4.5,SSRM6
1064,MRM10,3,MRM10
1065,MRM20,7,MRM20
1066,MRM30,10,MRM30
1067,MRM40,12,MRM40
1068,RocketLauncher10,0.5,RL10
1069,RocketLauncher15,1,RL15
1070,RocketLauncher20,1.5,RL20
1071,LaserAntiMissileSystem,1.5,LAMS
1072,BinaryLaserCannon,9,BLC
1073,LargeXPulseLaser,7,LXPL
1074,MediumXPulseLaser,2,MXPL
1075,SmallXPulseLaser,1,SXPL
1076,LightAutoCannon2,4,LAC2
1077,LightAutoCannon5,5,LAC5
1078,Magshot,0.5,MGSHT
1079,SilverBulletGaussRifle,15,SBGR
1080,ThunderboltMissile1,3,TB1
1081,ThunderboltMissile2,7,TB2
1082,ThunderboltMissile3,11,TB3
1083,ThunderboltMissile4,15,TB4
1084,LightTAG,0.5,LTAG
1085,RailGun,30,RLGN
1086,ArrowIV,15,ARROW
1200,ClanLBXAutoCannon2,5,LB2X
1201,ClanLBXAutoCannon5,7,LB5X
1202,ClanLBXAutoCannon10,10,LB10X
1203,ClanLBXAutoCannon20,12,LB20X
1204,ClanUltraAutoCannon2,5,UAC2
1205,ClanUltraAutoCannon5,7,UAC5
1206,ClanUltraAutoCannon10,10,UAC10
1207,ClanUltraAutoCannon20,12,UAC20
1208,ClanGaussRifle,12,GAUSS
1209,ClanMachineGun,0.25,MG
1210,ClanFlamer,0.5,FLMR
1211,ClanERSmallLaser,0.5,ERSL
1212,ClanERMediumLaser,1,ERML
1213,ClanERLargeLaser,4,ERLL
1214,ClanSmallPulseLaser,1,SPL
1215,ClanMediumPulseLaser,2,MPL
1216,ClanLargePulseLsr,6,LPL
1217,ClanERPPC,6,ERPPC
1218,ClanLRM5,1,LRM5
1219,ClanLRM10,2.5,LRM10
1220,ClanLRM15,3.5,LRM15
1221,ClanLRM20,5,LRM20
1222,ClanLRM5_Artemis,1,LRM5A
1223,ClanLRM10_Artemis,2.5,LRM10A
1224,ClanLRM15_Artemis,3.5,LRM15A
1225,ClanLRM20_Artemis,5,LRM20A
1226,ClanSRM2,0.5,SRM2
1227,ClanSRM4,1,SRM4
1228,ClanSRM6,1.5,SRM6
1229,ClanSRM2_Artemis,0.5,SRM2A
1230,ClanSRM4_Artemis,1,SRM4A
1231,ClanSRM6_Artemis,1.5,SRM6A
1232,ClanStreakSRM2,1,SSRM2
1233,ClanStreakSRM4,2,SSRM4
1234,ClanStreakSRM6,3,SSRM6
1235,ClanNarcBeacon,2,NARC
1236,ClanTAG,1.0,TAG
1237,ClanAntiMissileSystem,0.5,AMS
1238,ClanAutoCannon2,5,AC2
1239,ClanAutoCannon5,7,AC5
1240,ClanAutoCannon10,10,AC10
1241,ClanAutoCannon20,12,AC20
1242,ClanLightMachineGun,0.25,LMG
1243,ClanHeavyMachineGun,0.5,HMG
1244,ClanERMicroLaser,0.25,ERuL
1245,ClanMicroPulseLaser,0.5,uPL
1246,ClanHeavySmallLaser,0.5,HSL
1247,ClanHeavyMediumLaser,1.0,HML
1248,ClanHeavyLargeLsr,4.0,HLL
1249,ClanATM3,1.5,ATM3
1250,ClanATM6,3.5,ATM6
1251,ClanATM9,5.0,ATM9
1252,ClanATM12,7.0,ATM12
1253,ClanLightTAG,0.5,LTAG
1254,ClanLaserAntiMissileSystem,1.0,LAMS
1255,ClanHyperAssaultGaussRifle20,10,HAG20
1256,ClanHyperAssaultGaussRifle30,13,HAG30
1257,ClanHyperAssaultGaussRifle40,16,HAG40
1258,ClanProtoAutocannon2,3.5,PAC2
1259,ClanProtoAutocannon4,4.5,PAC4
1260,ClanProtoAutocannon8,5.5,PAC8
1261,ClanAPGauss,0.5,APG
1262,ClanBeamLaser,6,BEAM
1263,ClanPlasmaPPC,3,PLPPC
1264,NobleAutoCannon20,14,AC20
1265,ClanRailGun,30,RLGN
1266,ClanArrowIV,12,ARROW
1998,DropShipLargePulseLaser,7,LPL
